k,GMM,Kmeans
2,0.5589123867069486,0.5589123867069486
3,0.649546827794562,0.5558912386706949
4,0.5770392749244713,0.5800604229607251
5,0.6858006042296072,0.7129909365558912
6,0.5861027190332326,0.6978851963746223
7,0.6042296072507553,0.6706948640483383
8,0.6314199395770392,0.7220543806646526
9,0.6978851963746223,0.7220543806646526
10,0.7009063444108762,0.7129909365558912
15,0.797583081570997,0.8157099697885196
20,0.7824773413897281,0.8368580060422961
25,0.8580060422960725,0.8398791540785498
30,0.8368580060422961,0.8368580060422961
35,0.8640483383685801,0.8338368580060423
40,0.8610271903323263,0.8277945619335347
