k,GMM,Kmeans
2,0.029672944483718176,0.003195638365701741
3,0.056656558488552375,0.02329832247219091
4,0.023150871764284216,0.03343080948239975
5,0.05095658916073914,0.07390110545196672
6,0.017362505427412488,0.05402177819726892
7,0.02063686403015057,0.038955367330747774
8,0.025005362762277553,0.06824450743666359
9,0.05320270775781726,0.058459143461680615
10,0.04605500755014518,0.04670069265555483
15,0.09571638178883683,0.09980115809275546
20,0.07176644265553876,0.10212072168235638
25,0.11154583379649301,0.08981523477558291
30,0.09460297351334579,0.08908700869141471
35,0.09883752370380322,0.08056643848823798
40,0.09450814977464583,0.07463642703626676
