k,type,score,label
2,Kmeans,0.499382,1
2,Kmeans,0.170047,1
2,Kmeans,0.45003,1
2,Kmeans,0.538596,1
2,Kmeans,0.851136,0
2,Kmeans,0.474326,1
2,Kmeans,0.547786,1
2,Kmeans,0.539756,1
2,Kmeans,0.412707,1
2,Kmeans,0.503364,1
2,Kmeans,0.537186,1
2,Kmeans,0.553055,1
2,Kmeans,0.433313,1
2,Kmeans,0.445069,1
2,Kmeans,0.527839,1
2,Kmeans,0.50482,1
2,Kmeans,0.476509,1
2,Kmeans,0.534062,1
2,Kmeans,0.52855,1
2,Kmeans,0.448516,1
2,Kmeans,0.894291,0
2,Kmeans,0.417257,1
2,Kmeans,0.51338,1
2,Kmeans,0.430175,1
2,Kmeans,0.470372,1
2,Kmeans,0.558113,1
2,Kmeans,0.517567,1
2,Kmeans,0.470001,1
2,Kmeans,0.4084,1
2,Kmeans,0.493431,1
2,Kmeans,0.441332,1
2,Kmeans,0.434775,1
2,Kmeans,0.384716,1
2,Kmeans,0.510586,1
2,Kmeans,0.504593,1
2,Kmeans,0.534037,1
2,Kmeans,0.399935,1
2,Kmeans,0.472693,1
2,Kmeans,0.487842,1
2,Kmeans,0.365113,1
2,Kmeans,0.435872,1
2,Kmeans,0.550836,1
2,Kmeans,0.396248,1
2,Kmeans,0.459754,1
2,Kmeans,0.535291,1
2,Kmeans,0.46864,1
2,Kmeans,0.489611,1
2,Kmeans,0.382254,1
2,Kmeans,0.482702,1
2,Kmeans,0.56145,1
2,Kmeans,0.365426,1
2,Kmeans,0.510223,1
2,Kmeans,0.375873,1
2,Kmeans,0.508477,1
2,Kmeans,0.508188,1
2,Kmeans,0.461119,1
2,Kmeans,0.455492,1
2,Kmeans,0.381578,1
2,Kmeans,0.472074,1
2,Kmeans,0.428995,1
2,Kmeans,0.501883,1
2,Kmeans,0.356169,1
2,Kmeans,0.508098,1
2,Kmeans,0.513012,1
2,Kmeans,0.511129,1
2,Kmeans,0.280055,1
2,Kmeans,0.525774,1
2,Kmeans,0.540266,1
2,Kmeans,0.362621,1
2,Kmeans,0.342966,1
2,Kmeans,0.520403,1
2,Kmeans,0.515434,1
2,Kmeans,0.293781,1
2,Kmeans,0.543209,1
2,Kmeans,0.539166,1
2,Kmeans,0.365704,1
2,Kmeans,0.532474,1
2,Kmeans,0.548665,1
2,Kmeans,0.552359,1
2,Kmeans,0.28458,1
2,Kmeans,0.547412,1
2,Kmeans,0.336835,1
2,Kmeans,0.122262,1
2,Kmeans,0.444809,1
2,Kmeans,0.480414,1
2,Kmeans,0.507191,1
2,Kmeans,0.461974,1
2,Kmeans,0.313343,1
2,Kmeans,0.496853,1
2,Kmeans,0.496891,1
2,Kmeans,0.549075,1
2,Kmeans,0.508179,1
2,Kmeans,0.48341,1
2,Kmeans,0.497624,1
2,Kmeans,0.5201,1
2,Kmeans,0.515688,1
2,Kmeans,0.525549,1
2,Kmeans,0.285413,1
2,Kmeans,0.533118,1
2,Kmeans,0.441305,1
2,Kmeans,0.553001,1
2,Kmeans,0.462788,1
2,Kmeans,0.50864,1
2,Kmeans,0.517543,1
2,Kmeans,0.508566,1
2,Kmeans,0.385869,1
2,Kmeans,0.521916,1
2,Kmeans,0.526028,1
2,Kmeans,0.056057,1
2,Kmeans,0.433913,1
2,Kmeans,0.450746,1
2,Kmeans,0.42768,1
2,Kmeans,0.37613,1
2,Kmeans,0.486443,1
2,Kmeans,0.464343,1
2,Kmeans,0.468983,1
2,Kmeans,0.51828,1
2,Kmeans,0.499812,1
2,Kmeans,0.526348,1
2,Kmeans,0.244844,1
2,Kmeans,0.530827,1
2,Kmeans,0.374875,1
2,Kmeans,0.314768,1
2,Kmeans,0.50166,1
2,Kmeans,0.516074,1
2,Kmeans,0.489072,1
2,Kmeans,0.480824,1
2,Kmeans,0.521905,1
2,Kmeans,0.507505,1
2,Kmeans,0.443172,1
2,Kmeans,0.479699,1
2,Kmeans,0.504891,1
2,Kmeans,0.209439,1
2,Kmeans,0.450766,1
2,Kmeans,0.527543,1
2,Kmeans,0.52954,1
2,Kmeans,0.477036,1
2,Kmeans,0.503198,1
2,Kmeans,0.521038,1
2,Kmeans,0.53767,1
2,Kmeans,0.542199,1
2,Kmeans,0.450508,1
2,Kmeans,0.501217,1
2,Kmeans,0.442183,1
2,Kmeans,0.495533,1
2,Kmeans,0.464415,1
2,Kmeans,0.460165,1
2,Kmeans,0.491228,1
2,Kmeans,0.478585,1
2,Kmeans,0.521533,1
2,Kmeans,0.542175,1
2,Kmeans,0.457797,1
