k,GMM,Kmeans
2,0.1758971380004213,0.4718910271221782
3,0.011246720988889552,0.1314389007479726
4,0.10135010448077367,0.14201480895224217
5,0.05261544401220751,0.09955752821289322
6,0.08500092774539761,0.09697242713637735
7,0.05813797825673689,0.09566698365841896
8,0.062254754912738706,0.14739705116407445
9,0.07103397140138316,0.13721881333342067
10,0.11302875816390706,0.15285666123387748
15,0.171295196938129,0.1787948895073812
20,0.15155557364542463,0.17373577451105923
25,0.15764540603920252,0.17808129227004554
30,0.16519639354727847,0.1580142290488876
35,0.1675996078070859,0.165608789049358
40,0.16790727643739242,0.16748771105252613
