k,GMM,Kmeans
2,0.20233236151603498,0.1836734693877551
3,0.2848396501457726,0.2790087463556851
4,0.36151603498542273,0.3641399416909621
5,0.41720116618075803,0.4215743440233236
6,0.49533527696793,0.4845481049562682
7,0.4965014577259475,0.48075801749271135
8,0.48542274052478135,0.5145772594752187
9,0.5116618075801749,0.5087463556851312
10,0.5545189504373178,0.5705539358600583
15,0.6029154518950437,0.5854227405247814
20,0.6317784256559766,0.6107871720116618
25,0.6478134110787171,0.6591836734693878
30,0.648396501457726,0.6612244897959184
35,0.6655976676384839,0.6775510204081633
40,0.7061224489795919,0.6798833819241983
