k,GMM,Kmeans
2,0.21754379642005325,0.12884504450679718
3,0.27618969049164604,0.22988236926924585
4,0.36842344197040683,0.3758290735783801
5,0.4265678132614,0.3895095336592418
6,0.4880167084337616,0.4476047208861475
7,0.5028852064032905,0.47596828221922566
8,0.49315601068317394,0.48545314850362814
9,0.5094821304653883,0.44554714193492234
10,0.5406040433353403,0.49605864629335944
15,0.5351857333414515,0.4762823384251664
20,0.5110495712097993,0.4585821624563473
25,0.48281301834903495,0.4601939616096343
30,0.47732896774424294,0.4352076074701751
35,0.4583239926279087,0.43767447647510455
40,0.45176352494200517,0.4196007563698721
