k,type,score,label
2,Kmeans,0.171521,1
2,Kmeans,0.070592,0
2,Kmeans,-0.00074,0
2,Kmeans,0.096018,0
2,Kmeans,0.041349,0
2,Kmeans,0.000443,0
2,Kmeans,0.099175,0
2,Kmeans,0.089708,0
2,Kmeans,0.070106,0
2,Kmeans,0.107962,1
2,Kmeans,-0.000766,0
2,Kmeans,0.15764,1
2,Kmeans,0.056507,1
2,Kmeans,0.126868,1
2,Kmeans,0.135041,0
2,Kmeans,0.113965,0
2,Kmeans,0.16224,1
2,Kmeans,0.021959,0
2,Kmeans,0.024381,0
2,Kmeans,0.095828,0
2,Kmeans,0.070751,0
2,Kmeans,0.060208,0
2,Kmeans,0.065894,0
2,Kmeans,0.085527,0
2,Kmeans,0.229426,1
2,Kmeans,0.036659,0
2,Kmeans,0.066406,0
2,Kmeans,0.045024,1
2,Kmeans,0.026388,0
2,Kmeans,0.097682,0
2,Kmeans,0.251394,1
2,Kmeans,0.075632,0
2,Kmeans,0.10242,0
2,Kmeans,0.093642,0
2,Kmeans,0.106655,1
2,Kmeans,0.046198,1
2,Kmeans,0.055628,0
2,Kmeans,0.093952,0
2,Kmeans,0.153132,1
2,Kmeans,0.017296,0
2,Kmeans,0.072127,0
2,Kmeans,0.095201,0
2,Kmeans,0.116323,0
2,Kmeans,0.088925,0
2,Kmeans,0.154031,1
2,Kmeans,0.131378,1
2,Kmeans,0.08824,0
2,Kmeans,0.22113,1
2,Kmeans,0.115388,0
2,Kmeans,0.049971,0
2,Kmeans,0.095234,0
2,Kmeans,0.059453,0
2,Kmeans,0.046177,0
2,Kmeans,0.057978,0
2,Kmeans,0.115377,0
2,Kmeans,0.102371,0
2,Kmeans,0.079186,0
2,Kmeans,0.049124,0
2,Kmeans,0.075583,0
2,Kmeans,0.113409,0
2,Kmeans,0.065558,0
2,Kmeans,0.107988,0
2,Kmeans,0.051746,0
2,Kmeans,0.071567,0
2,Kmeans,0.015176,0
2,Kmeans,0.079959,1
2,Kmeans,0.066704,0
2,Kmeans,0.084181,1
2,Kmeans,0.07412,0
2,Kmeans,0.082657,0
2,Kmeans,0.097882,1
2,Kmeans,0.076115,0
2,Kmeans,0.068368,0
2,Kmeans,0.087795,0
2,Kmeans,0.059853,0
