k,GMM,Kmeans
2,0.11162530784175635,0.09145273254342796
3,0.06788225344285384,0.11787723921080415
4,0.11100814746753222,0.1252203493717265
5,0.13113479566749436,0.15713409391065136
6,0.14901113978632172,0.16664812194683362
7,0.1549876901936656,0.17836721791917692
8,0.1471582585846793,0.1935295429415033
9,0.1393545499699123,0.20109188174247022
10,0.15807787604150547,0.21802261035873155
15,0.15945893825537855,0.24429477144008618
20,0.15360212632282913,0.22849526724603367
25,0.10738254218881539,0.21665746865546137
30,0.11089997764023685,0.21569810582553903
35,0.12538360271271407,0.2128744895188353
40,0.11959381716259769,0.20216491588477495
