k,GMM,Kmeans
2,0.7341389728096677,0.552870090634441
3,0.5498489425981873,0.7220543806646526
4,0.7220543806646526,0.743202416918429
5,0.7250755287009063,0.7250755287009063
6,0.7220543806646526,0.7250755287009063
7,0.7250755287009063,0.7250755287009063
8,0.7371601208459214,0.7613293051359517
9,0.7341389728096677,0.716012084592145
10,0.7371601208459214,0.7794561933534743
15,0.7522658610271903,0.7522658610271903
20,0.7734138972809668,0.8489425981873112
25,0.8006042296072508,0.8277945619335347
30,0.7885196374622356,0.8670694864048338
35,0.8096676737160121,0.8731117824773413
40,0.8338368580060423,0.797583081570997
