k,GMM,Kmeans
2,0.1575108208903144,-0.0015819606650510718
3,0.028779467585936264,0.08990325279388019
4,0.08407027739074678,0.1487464381240534
5,0.08230631388360511,0.08230631388360511
6,0.07774654579486594,0.08023582227310663
7,0.07833819306634127,0.07701578825971118
8,0.08830349292771979,0.10183743736638139
9,0.07335184657453321,0.059371016647554176
10,0.07070681906848811,0.12184485911479871
15,0.08790519707866262,0.07618169163939213
20,0.08101346105727182,0.11635545520872632
25,0.08489698964381244,0.09558321566051535
30,0.07532634102693457,0.1104392011473393
35,0.07763866244045249,0.09981956205313004
40,0.07911791733840556,0.06547403237878008
