,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.105106782913208,0.016872149328895504,0.0014153480529785155,0.00012894699518845165,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.7490990990990992,0.7626126126126126,0.7416666666666666,0.5055555555555553,0.5545977011494253,0.6635957762116736,0.10951265407436098,117,0.7286004056795132,0.7159953636627066,0.7819442845631402,0.5217854264993668,0.5200342465753425,0.6536719453960138,0.11063938180690229
1,0.22610316276550294,0.09236315226428665,0.001369619369506836,5.537444857253989e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.47972972972972977,0.7887387387387388,0.4999999999999999,0.7194444444444443,0.578544061302682,0.6135229145178097,0.12200316467281415,172,0.6292379020573746,0.7207186322804985,0.5,0.8060895591113155,0.5497716894977168,0.6411635565893812,0.11131167116844948
2,0.17658133506774903,0.03374218229005001,0.001431751251220703,6.888628628990544e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5743243243243245,0.609009009009009,0.711111111111111,0.7194444444444443,0.7476053639846743,0.6715841349214616,0.06790076355300251,106,0.6933642422486236,0.5672558678643872,0.7679578680787383,0.7743467249913663,0.6850456621004567,0.6975940730567144,0.07484041027126001
3,0.1891340732574463,0.04148658864355723,0.0014695167541503907,7.18045516108566e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.5000000000000001,0.5,0.7416666666666666,0.7416666666666665,0.7926245210727969,0.6538386521744162,0.12821695300424985,124,0.5,0.5,0.7839875676297916,0.7818003913894324,0.8152968036529682,0.6762169525344384,0.14436786466986234
4,0.2633181571960449,0.15605772258788606,0.0016615867614746093,0.0005184526199912826,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.737837837837838,0.7229729729729728,0.5694444444444444,0.7777777777777776,0.7614942528735632,0.7138613819570168,0.07451148865142036,65,0.817907852796291,0.7152419588525066,0.5287786347415678,0.8274145274548174,0.760216894977169,0.7299119737644704,0.10847879088231833
5,0.2676963806152344,0.13938679828704506,0.0014108180999755859,1.1974785265508052e-05,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.7585585585585587,0.5954954954954955,0.5333333333333332,0.4999999999999998,0.5,0.5783130562586756,0.09729654452523569,214,0.8103738046942917,0.650333236742973,0.5057557269483136,0.5,0.5,0.5932925536771156,0.12283941244140262
6,0.29087128639221194,0.0968664279086105,0.0013998031616210937,6.691597042226332e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6036036036036038,0.7626126126126126,0.7000000000000001,0.6416666666666665,0.7782567049808429,0.6968978015415145,0.06742366575910384,79,0.7670530281077949,0.7565053607649956,0.7939449752503741,0.6617647058823529,0.7406392694063928,0.7439814678823821,0.04462345369220936
7,0.2964907646179199,0.030190957694407442,0.0015295028686523437,9.001258458159444e-05,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6391891891891893,0.8387387387387387,0.6777777777777777,0.647222222222222,0.8026819923371648,0.7209833857192955,0.08323948638482331,58,0.7071283685888148,0.8210373804694292,0.6891619661563254,0.6099919419822724,0.841324200913242,0.7337287716220168,0.08626025061808504
8,0.30781021118164065,0.10860699951475818,0.0014210224151611328,3.703259940083698e-05,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.4896396396396398,0.8054054054054054,0.7194444444444446,0.7583333333333331,0.5,0.6549889768923002,0.13337556774174938,123,0.49988409156766156,0.8194146624166908,0.8150972717854266,0.7768216875791412,0.5,0.682243542669784,0.14958524872336104
9,0.2686623096466064,0.11057947369247027,0.001464080810546875,5.97112465303212e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.5333333333333334,0.8396396396396396,0.7666666666666666,0.4999999999999998,0.5,0.6286682452845596,0.14559692963554038,151,0.536627064618951,0.8061721240220227,0.8199320824220098,0.5049787038102913,0.5049086757990868,0.6345237301344724,0.14629091666737942
10,0.35622005462646483,0.13462872320847716,0.0014920234680175781,4.256716524475949e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.7234234234234236,0.8761261261261261,0.4999999999999999,0.7527777777777775,0.7370689655172413,0.7183161205793771,0.12188404279722259,61,0.7770501303969863,0.8806143146913938,0.5,0.7687348912167605,0.6789383561643836,0.7210675384939048,0.12767703433766928
11,0.3133837223052979,0.05803962371536637,0.0014616966247558594,2.481175772107991e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",0.8022522522522524,0.7490990990990991,0.6555555555555557,0.8083333333333331,0.7715517241379309,0.7574261911666851,0.055190093720210394,33,0.7973341060562157,0.8012170385395538,0.7266893058593301,0.8357891101646138,0.7755136986301371,0.7873086518499701,0.03593920928606357
12,0.37398676872253417,0.10149260185356745,0.0015279293060302735,6.400810232200749e-05,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",0.48288288288288295,0.8126126126126125,0.5694444444444444,0.797222222222222,0.7231800766283525,0.6767519733505774,0.13022015639546203,102,0.4680382497826717,0.7575775137641264,0.7061701392885921,0.8132266605272246,0.646175799086758,0.6782376724898745,0.11875084929278744
13,0.5465162754058838,0.08261553772996753,0.0017381668090820312,0.0005085386717330294,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",0.7657657657657659,0.7981981981981981,0.7138888888888888,0.7194444444444443,0.8031609195402298,0.7600937926154094,0.03768030993908061,31,0.7905534627644162,0.8182266009852217,0.7718429837688499,0.7643893173707839,0.8089041095890411,0.7907832948956626,0.02067331242084741
14,0.4239203929901123,0.0685247918252601,0.0016494274139404296,0.0003087428507664975,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",0.6364864864864866,0.7243243243243243,0.6944444444444444,0.8111111111111109,0.8304597701149424,0.7387337644968647,0.07242983346490822,44,0.6614894233555493,0.7209214720370908,0.7441003798779786,0.840767813974905,0.8073630136986302,0.7549284205888307,0.06343871567249319
15,0.10169382095336914,0.025281546506065147,0.0019315719604492188,0.0012024679987055727,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",0.24234234234234237,0.7657657657657657,0.2972222222222222,0.547222222222222,0.578544061302682,0.4860481587953199,0.19337869748461897,293,0.2552593451173573,0.7151260504201681,0.23814320248647403,0.5486934499827327,0.5458904109589041,0.46062249179312725,0.1851865163839374
16,0.09633402824401856,0.009610569400892858,0.0013205051422119141,3.2288108404298714e-05,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 3}",0.45360360360360374,0.7418918918918919,0.5,0.461111111111111,0.5019157088122606,0.5321935123997839,0.10744923016273719,266,0.581947261663286,0.6908722109533468,0.5,0.44431334177506615,0.45964611872146116,0.5353557866226321,0.09124345018499418
17,0.17558135986328124,0.04970797775660881,0.0013791561126708985,6.17279652629034e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 4}",0.7585585585585587,0.8666666666666666,0.7333333333333332,0.6888888888888887,0.785919540229885,0.7668928304280944,0.0594809901593372,22,0.7892494929006085,0.7725586786438715,0.7978300909404857,0.7018245654426154,0.7554794520547946,0.7633884559964752,0.03403462176741032
18,0.21663908958435057,0.08520388211781293,0.0014756202697753906,0.000219696395925805,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 5}",0.5000000000000001,0.5981981981981982,0.48611111111111116,0.547222222222222,0.5,0.5265235023543181,0.04161118921397444,270,0.5,0.5928426543031006,0.45968113272706335,0.6643260043743524,0.5,0.5433699582809033,0.0746239088006263
19,0.1333448886871338,0.032485002390045675,0.0013509750366210937,5.6160932316859414e-05,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 6}",0.7355855855855857,0.5,0.5027777777777778,0.6194444444444444,0.7514367816091954,0.6214329054546786,0.10839515455441134,162,0.7832222544190091,0.5,0.4680844940716012,0.6256475192816853,0.7474315068493151,0.6248771549243222,0.1267056237822536
20,0.13686590194702147,0.025357588334988034,0.0013264656066894532,4.538768422494976e-05,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 7}",0.4959459459459461,0.5166666666666667,0.4833333333333334,0.7333333333333331,0.5684865900383143,0.5592044513520709,0.09157971608269012,233,0.5201390901188062,0.5106635757751378,0.4984459537239552,0.7750949694946472,0.5003995433789954,0.5609486264983083,0.10735495924732558
21,0.1447293758392334,0.022553628593868436,0.0013420581817626953,1.84955047161288e-05,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 8}",0.7450450450450452,0.5887387387387387,0.5277777777777777,0.522222222222222,0.5,0.5775332734547236,0.08938345453538783,219,0.7383946682121125,0.6601854534917415,0.552549787038103,0.5217854264993668,0.5,0.5945830670482648,0.09055131076527237
22,0.2697123050689697,0.09842877862960502,0.0013202667236328126,6.227602818973117e-05,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 9}",0.49684684684684693,0.8094594594594594,0.561111111111111,0.5361111111111109,0.5,0.5813872785171879,0.11733406569778095,205,0.508084613155607,0.784410315850478,0.6240071371014159,0.5259871071716358,0.5049086757990868,0.5894795698156446,0.10676967411153815
23,0.1739344596862793,0.023071343352136304,0.0013339996337890625,1.404153869502357e-05,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 10}",0.5031531531531533,0.386936936936937,0.4999999999999999,0.8805555555555553,0.7820881226053639,0.6090284914563485,0.18763156727644098,178,0.5091567661547378,0.44523326572008115,0.5,0.8605387360423621,0.8102168949771691,0.6250291325788699,0.17386461612373952
24,0.17370452880859374,0.02551972697396202,0.0013476371765136718,1.629681242876108e-05,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 15}",0.7576576576576578,0.5,0.4999999999999999,0.4999999999999998,0.8132183908045976,0.6136624122820601,0.14065661903286575,169,0.8005505650536077,0.5,0.5,0.5,0.7137557077625571,0.6028612545632329,0.12893405779971678
25,0.2601344585418701,0.05452451491413398,0.0013637542724609375,1.9184623229033188e-05,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 20}",0.7297297297297299,0.445945945945946,0.7166666666666667,0.6027777777777776,0.48946360153256707,0.5971865187408474,0.11540152083787693,185,0.7962329759490003,0.4968704723268619,0.7688787843904685,0.5927247611373316,0.46244292237442924,0.6234299832356183,0.13703516503319668
26,0.31220331192016604,0.027695917006321406,0.0016700267791748048,0.0003859791240673584,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 25}",0.4864864864864866,0.5,0.5833333333333334,0.772222222222222,0.8477011494252872,0.6364405920661781,0.14602313926662241,137,0.5091567661547378,0.5072152999130688,0.6795786807873834,0.8241337630942788,0.8228310502283106,0.6685831120355559,0.14111390049445388
27,0.27448439598083496,0.01920877313355793,0.0014678955078125,0.00010222029684611707,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 30}",0.5000000000000001,0.5,0.6194444444444444,0.5833333333333331,0.4861111111111111,0.5377056059080229,0.05334449899464691,257,0.5,0.5049550854824689,0.7411649591343387,0.5768677333947277,0.5007420091324202,0.5647459574287911,0.0928806700927025
28,0.46350884437561035,0.049060321106997214,0.0014050006866455078,5.234468908999907e-05,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 35}",0.5355855855855857,0.768018018018018,0.763888888888889,0.522222222222222,0.864942528735632,0.6901693025455916,0.13700343684426608,89,0.6250651984931905,0.7027238481599536,0.7162714400828825,0.48676182801887874,0.853367579908676,0.6768379789327164,0.1201641710705168
29,0.4288973331451416,0.1319277047181472,0.0014170169830322265,3.620528803021403e-05,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 40}",0.5000000000000001,0.7355855855855856,0.7777777777777777,0.4999999999999998,0.6575670498084291,0.6340163921604697,0.11633917286130846,138,0.5,0.7037090698348305,0.7948658915621043,0.4939277080695292,0.590810502283105,0.6166626343499139,0.11719713983419283
