k,type,score,label
2,Kmeans,0.546531,0
2,Kmeans,0.560319,0
2,Kmeans,0.659113,0
2,Kmeans,0.683097,0
2,Kmeans,0.656909,0
2,Kmeans,0.641767,0
2,Kmeans,0.719476,0
2,Kmeans,0.708544,0
2,Kmeans,0.263973,0
2,Kmeans,0.675008,0
2,Kmeans,0.715961,0
2,Kmeans,0.659998,0
2,Kmeans,0.645679,0
2,Kmeans,0.678379,0
2,Kmeans,0.602315,0
2,Kmeans,0.650965,0
2,Kmeans,0.517177,0
2,Kmeans,0.594721,0
2,Kmeans,0.665336,0
2,Kmeans,0.66803,0
2,Kmeans,0.574753,0
2,Kmeans,0.679609,0
2,Kmeans,0.687537,0
2,Kmeans,0.702648,0
2,Kmeans,0.618867,0
2,Kmeans,0.656433,0
2,Kmeans,0.682829,0
2,Kmeans,0.701662,0
2,Kmeans,0.651639,0
2,Kmeans,0.672434,0
2,Kmeans,0.650666,0
2,Kmeans,0.482396,0
2,Kmeans,0.702419,0
2,Kmeans,0.664296,0
2,Kmeans,0.679991,0
2,Kmeans,0.58401,0
2,Kmeans,0.677341,0
2,Kmeans,0.628358,0
2,Kmeans,0.690029,0
2,Kmeans,0.627882,0
2,Kmeans,0.701222,0
2,Kmeans,0.53902,0
2,Kmeans,0.70717,0
2,Kmeans,0.662347,0
2,Kmeans,0.621169,0
2,Kmeans,0.677692,0
2,Kmeans,0.719609,0
2,Kmeans,0.663546,0
2,Kmeans,0.67594,0
2,Kmeans,0.623408,0
2,Kmeans,0.935463,1
2,Kmeans,0.600393,0
2,Kmeans,0.652154,0
2,Kmeans,0.643914,0
2,Kmeans,0.644701,0
2,Kmeans,0.686798,0
2,Kmeans,0.708287,0
2,Kmeans,0.686278,0
2,Kmeans,0.629916,0
2,Kmeans,0.678275,0
2,Kmeans,0.646385,0
2,Kmeans,0.676291,0
2,Kmeans,0.614105,0
2,Kmeans,0.64736,0
2,Kmeans,0.682248,0
2,Kmeans,0.684102,0
2,Kmeans,0.628109,0
2,Kmeans,0.611695,0
2,Kmeans,0.677967,0
2,Kmeans,0.691883,0
2,Kmeans,0.713632,0
2,Kmeans,0.577575,0
2,Kmeans,0.7012,0
2,Kmeans,0.679653,0
2,Kmeans,0.906176,1
2,Kmeans,0.610803,0
2,Kmeans,0.648555,0
2,Kmeans,0.678075,0
2,Kmeans,0.631981,0
2,Kmeans,0.618086,0
2,Kmeans,0.708693,0
2,Kmeans,0.709829,0
2,Kmeans,0.706828,0
2,Kmeans,0.581196,0
2,Kmeans,0.633351,0
2,Kmeans,0.702839,0
2,Kmeans,0.694854,0
2,Kmeans,0.558627,0
2,Kmeans,0.663433,0
2,Kmeans,0.693957,0
2,Kmeans,0.717478,0
2,Kmeans,0.697001,0
2,Kmeans,0.71135,0
2,Kmeans,0.695988,0
2,Kmeans,0.639641,0
2,Kmeans,0.578777,0
2,Kmeans,0.585587,0
