k,GMM,Kmeans
2,0.13004447029035368,0.647671527634298
3,0.1479282591303409,0.11669240306850884
4,0.126955049575183,0.15007067948293235
5,0.14468678378378444,0.14468678378378444
6,0.15094817794368373,0.15142349145154138
7,0.1602844077804261,0.1540576726053681
8,0.13610975249768079,0.15050311113797943
9,0.1337027888857471,0.15396228238532259
10,0.15056563206765894,0.1577018342054753
15,0.11552172021878664,0.09863155996619599
20,0.1313205676106339,0.13052131153076046
25,0.13028914312154147,0.14182102218600404
30,0.11162656425308552,0.14425640561669856
35,0.13119973771541796,0.15467612259387592
40,0.1319816123139818,0.14274002338585629
