k,GMM,Kmeans
2,0.20233236151603498,0.19096209912536444
3,0.28338192419825076,0.27230320699708455
4,0.36443148688046645,0.3556851311953353
5,0.42361516034985425,0.38279883381924196
6,0.4553935860058309,0.4411078717201166
7,0.4740524781341108,0.4982507288629738
8,0.5128279883381924,0.5134110787172012
9,0.5361516034985423,0.5113702623906705
10,0.5897959183673469,0.5466472303206997
15,0.6384839650145773,0.6314868804664723
20,0.6489795918367347,0.6431486880466473
25,0.6912536443148688,0.6580174927113702
30,0.7113702623906706,0.6699708454810496
35,0.7122448979591837,0.6661807580174927
40,0.7026239067055393,0.6860058309037901
