k,GMM,Kmeans
2,0.1927664305648622,0.13982225020551492
3,0.2677913249265836,0.24632728500708465
4,0.36340747012006624,0.3187170492942966
5,0.41441732794642766,0.36941544254768854
6,0.4429844944893588,0.4222248057482294
7,0.49403858875053963,0.4624446698393778
8,0.5183076920597347,0.47389435591695095
9,0.540203288720615,0.47594183100335263
10,0.570968554649875,0.4818196322974209
15,0.579145048045077,0.5057538059138035
20,0.5337333787370228,0.48326290722874066
25,0.5086038736053943,0.46989153292120056
30,0.4777885861939582,0.4390714824766034
35,0.46590513473806566,0.42381298739175044
40,0.4571538367253049,0.4269967486029559
