k,type,score,label
2,Kmeans,0.280742,1
2,Kmeans,0.091511,0
2,Kmeans,0.111147,1
2,Kmeans,0.091815,1
2,Kmeans,0.357742,0
2,Kmeans,0.347336,1
2,Kmeans,0.081405,1
2,Kmeans,0.250233,1
2,Kmeans,0.261688,1
2,Kmeans,0.369366,0
2,Kmeans,0.306142,1
2,Kmeans,0.143239,1
2,Kmeans,0.415066,0
2,Kmeans,0.315374,1
2,Kmeans,0.097098,1
2,Kmeans,0.233591,0
2,Kmeans,0.047573,0
2,Kmeans,0.41907,0
2,Kmeans,0.351589,1
2,Kmeans,0.272578,0
2,Kmeans,0.016948,1
2,Kmeans,0.101608,1
2,Kmeans,0.229058,0
2,Kmeans,0.152317,1
2,Kmeans,0.040094,0
2,Kmeans,-0.004647,1
2,Kmeans,0.286358,1
2,Kmeans,0.072258,1
2,Kmeans,0.200725,1
2,Kmeans,0.331023,1
2,Kmeans,0.385212,0
2,Kmeans,0.128075,0
2,Kmeans,0.287582,1
2,Kmeans,0.133905,0
2,Kmeans,0.141173,0
2,Kmeans,0.259144,1
2,Kmeans,0.113721,0
2,Kmeans,0.367082,0
2,Kmeans,0.125335,0
2,Kmeans,0.410503,0
2,Kmeans,0.176352,0
2,Kmeans,0.162115,1
2,Kmeans,0.133808,0
2,Kmeans,0.271827,1
2,Kmeans,0.380677,0
2,Kmeans,0.321869,1
2,Kmeans,0.222879,0
2,Kmeans,0.152234,0
2,Kmeans,0.225667,1
2,Kmeans,0.151276,1
2,Kmeans,0.102589,0
2,Kmeans,0.136444,1
2,Kmeans,0.376708,0
2,Kmeans,0.246763,0
2,Kmeans,0.16442,1
2,Kmeans,0.313438,0
2,Kmeans,0.203797,1
2,Kmeans,0.370815,0
2,Kmeans,0.181091,0
2,Kmeans,0.193855,0
2,Kmeans,0.364185,0
2,Kmeans,0.281647,0
2,Kmeans,0.036379,1
2,Kmeans,0.053412,1
2,Kmeans,0.195274,1
2,Kmeans,0.051694,0
2,Kmeans,0.284273,0
2,Kmeans,0.258726,0
2,Kmeans,0.0745,0
2,Kmeans,0.065329,1
2,Kmeans,0.290141,0
2,Kmeans,0.259574,1
2,Kmeans,0.353629,0
2,Kmeans,0.343277,0
2,Kmeans,0.23528,1
2,Kmeans,0.331275,1
2,Kmeans,0.201262,0
2,Kmeans,0.135361,1
2,Kmeans,0.113224,1
2,Kmeans,0.195916,1
2,Kmeans,0.069142,1
2,Kmeans,0.049486,1
2,Kmeans,0.29843,0
2,Kmeans,0.057792,0
2,Kmeans,0.303468,1
2,Kmeans,0.12656,1
2,Kmeans,0.186375,1
2,Kmeans,0.014221,1
2,Kmeans,0.266596,0
2,Kmeans,0.400907,0
2,Kmeans,0.257869,1
2,Kmeans,0.114166,0
2,Kmeans,0.144391,0
2,Kmeans,0.314117,1
2,Kmeans,0.01642,1
2,Kmeans,0.3151,1
2,Kmeans,0.060762,0
2,Kmeans,0.269451,0
2,Kmeans,0.019068,1
2,Kmeans,0.156791,0
2,Kmeans,0.341704,0
2,Kmeans,0.355322,1
2,Kmeans,0.268517,1
2,Kmeans,0.366607,0
2,Kmeans,0.104231,1
2,Kmeans,0.239624,1
2,Kmeans,0.357342,0
2,Kmeans,-0.011042,1
2,Kmeans,0.359856,1
2,Kmeans,0.323805,1
2,Kmeans,0.419673,0
2,Kmeans,0.333646,1
2,Kmeans,0.325143,1
2,Kmeans,0.286165,1
2,Kmeans,0.263359,1
2,Kmeans,0.049532,1
2,Kmeans,0.308722,1
2,Kmeans,0.155189,0
2,Kmeans,0.173615,1
2,Kmeans,0.184552,1
2,Kmeans,0.07053,1
2,Kmeans,0.013764,0
2,Kmeans,0.197565,0
2,Kmeans,0.379673,0
2,Kmeans,0.369764,0
2,Kmeans,0.233516,0
2,Kmeans,0.092551,1
2,Kmeans,0.1847,1
2,Kmeans,0.286989,1
2,Kmeans,0.336299,0
2,Kmeans,0.046603,1
2,Kmeans,0.013043,1
2,Kmeans,0.055371,0
2,Kmeans,0.32762,1
2,Kmeans,0.144293,1
2,Kmeans,0.135376,1
2,Kmeans,0.275227,0
2,Kmeans,0.187021,1
2,Kmeans,0.363307,0
2,Kmeans,0.318673,0
2,Kmeans,0.083344,0
2,Kmeans,0.261713,0
2,Kmeans,0.078558,1
2,Kmeans,0.347295,1
2,Kmeans,0.019473,1
2,Kmeans,0.216338,1
2,Kmeans,0.357525,1
2,Kmeans,0.210139,1
2,Kmeans,0.079782,0
2,Kmeans,0.204742,1
2,Kmeans,0.242108,1
2,Kmeans,0.37415,0
2,Kmeans,0.235192,1
2,Kmeans,0.309123,1
2,Kmeans,0.363916,1
2,Kmeans,0.289094,1
2,Kmeans,0.332822,1
2,Kmeans,0.272183,1
2,Kmeans,0.339218,1
2,Kmeans,0.33691,1
2,Kmeans,0.351316,0
2,Kmeans,0.375866,0
2,Kmeans,0.262166,1
2,Kmeans,0.075002,1
2,Kmeans,0.13335,0
2,Kmeans,0.309961,0
2,Kmeans,0.161702,1
2,Kmeans,0.039434,0
2,Kmeans,0.206751,1
2,Kmeans,0.292403,0
2,Kmeans,-0.000328,0
2,Kmeans,0.259451,1
2,Kmeans,-0.007102,1
2,Kmeans,0.147984,0
2,Kmeans,0.306289,1
2,Kmeans,0.338444,1
2,Kmeans,0.373633,0
2,Kmeans,0.187691,0
2,Kmeans,0.248958,0
2,Kmeans,0.215559,0
2,Kmeans,0.070377,1
2,Kmeans,0.326133,1
2,Kmeans,0.349335,1
2,Kmeans,0.186551,0
2,Kmeans,0.281535,1
2,Kmeans,0.027612,1
2,Kmeans,0.394558,0
2,Kmeans,0.319848,1
2,Kmeans,0.240357,1
2,Kmeans,0.227346,0
2,Kmeans,0.118949,0
2,Kmeans,0.388059,0
2,Kmeans,0.203421,0
2,Kmeans,0.25516,0
2,Kmeans,0.074665,0
2,Kmeans,0.111069,0
2,Kmeans,0.250238,1
2,Kmeans,0.273831,1
2,Kmeans,0.056125,1
2,Kmeans,0.385668,0
2,Kmeans,0.388138,0
2,Kmeans,0.373775,0
2,Kmeans,0.059883,1
2,Kmeans,0.221451,1
2,Kmeans,0.241272,0
2,Kmeans,0.202484,0
2,Kmeans,0.142384,1
2,Kmeans,0.322549,0
2,Kmeans,0.185959,0
2,Kmeans,0.271634,0
2,Kmeans,0.331569,0
2,Kmeans,0.344442,1
2,Kmeans,0.094237,1
2,Kmeans,0.083263,1
2,Kmeans,-0.005003,1
2,Kmeans,0.174958,1
2,Kmeans,0.309437,1
2,Kmeans,0.369861,1
2,Kmeans,0.262545,0
2,Kmeans,0.240258,0
2,Kmeans,0.252262,0
2,Kmeans,0.335307,0
2,Kmeans,0.286657,0
2,Kmeans,0.073634,1
2,Kmeans,0.363785,1
2,Kmeans,0.349836,1
2,Kmeans,0.143947,1
2,Kmeans,0.308638,1
2,Kmeans,0.033075,1
2,Kmeans,0.243948,1
2,Kmeans,0.3953,0
2,Kmeans,0.252713,1
2,Kmeans,0.301031,1
2,Kmeans,0.34858,1
2,Kmeans,0.24481,0
2,Kmeans,0.162464,0
2,Kmeans,0.350032,0
2,Kmeans,0.380335,0
2,Kmeans,0.354074,0
2,Kmeans,0.089582,1
2,Kmeans,0.14269,0
2,Kmeans,0.317543,1
2,Kmeans,0.086064,1
2,Kmeans,0.063779,0
2,Kmeans,0.144575,0
2,Kmeans,0.267268,0
2,Kmeans,0.287625,1
2,Kmeans,0.196751,0
2,Kmeans,0.383124,0
2,Kmeans,0.179192,1
2,Kmeans,0.263739,1
