k,GMM,Kmeans
2,0.18746010032073876,0.23076658293756516
3,0.17733608871573042,0.22306827171211813
4,0.16940900416237867,0.2309563949069583
5,0.1618068954733177,0.21386239578943084
6,0.1534840807743324,0.21754675416068553
7,0.14741617965626985,0.23580170367877695
8,0.15154685253777034,0.24493797327384786
9,0.14881900571362575,0.2476621802499507
10,0.14707810951041886,0.2394533904018227
15,0.15470415841433113,0.23104521879481157
20,0.11014337012699937,0.2101658969259946
25,0.11080879686566983,0.20906933148403817
30,0.08429546154827258,0.18809225202471982
35,0.08612595610705713,0.18277788527240107
40,0.04615348951425358,0.1770589805955336
