k,GMM,Kmeans
2,0.8187311178247734,0.7190332326283988
3,0.8580060422960725,0.851963746223565
4,0.8580060422960725,0.8580060422960725
5,0.8700906344410876,0.8580060422960725
6,0.8821752265861027,0.8549848942598187
7,0.8851963746223565,0.851963746223565
8,0.8882175226586103,0.851963746223565
9,0.9577039274924471,0.9214501510574018
10,0.945619335347432,0.9214501510574018
15,0.9909365558912386,0.9123867069486404
20,0.9788519637462235,0.9667673716012085
25,0.972809667673716,0.9607250755287009
30,0.9758308157099698,0.9697885196374623
35,0.9758308157099698,0.9758308157099698
40,0.9848942598187311,0.9848942598187311
