k,GMM,Kmeans
2,0.33193615311485297,0.13680272228769014
3,0.31476478001252295,0.3010508202682842
4,0.25337822830694146,0.25337822830694146
5,0.26659994080424576,0.2276426949599285
6,0.2861966705786399,0.21002969472601124
7,0.2899101611970139,0.19814016044728888
8,0.25185377858622554,0.17456022686834097
9,0.3154570948163946,0.2339984667462701
10,0.3140458577481832,0.20940517777967854
15,0.29826627423470387,0.17411046261398408
20,0.2497153459314165,0.2160870058235813
25,0.22045924030145342,0.19837681894159762
30,0.20500912160175147,0.1934930882520436
35,0.19115875553188436,0.18708903623246412
40,0.18980851174529534,0.18322692713463562
