k,type,score,label
2,Kmeans,0.095924,1
2,Kmeans,0.406017,0
2,Kmeans,0.564172,1
2,Kmeans,0.260884,1
2,Kmeans,0.135336,0
2,Kmeans,0.213701,1
2,Kmeans,0.101048,0
2,Kmeans,0.466208,1
2,Kmeans,0.265751,1
2,Kmeans,0.270172,0
2,Kmeans,0.394229,0
2,Kmeans,0.38798,0
2,Kmeans,0.426543,0
2,Kmeans,0.497025,1
2,Kmeans,0.514794,1
2,Kmeans,0.283414,0
2,Kmeans,0.279961,1
2,Kmeans,0.446967,0
2,Kmeans,0.398682,1
2,Kmeans,0.28906,0
2,Kmeans,0.432644,0
2,Kmeans,0.236993,0
2,Kmeans,0.370009,0
2,Kmeans,0.598799,1
2,Kmeans,0.124519,0
2,Kmeans,0.143702,0
2,Kmeans,0.039899,0
2,Kmeans,0.487355,1
2,Kmeans,0.566244,1
2,Kmeans,0.589017,1
2,Kmeans,0.397875,0
2,Kmeans,0.558999,1
2,Kmeans,0.57879,1
2,Kmeans,0.296782,1
2,Kmeans,0.519122,1
2,Kmeans,0.432561,0
2,Kmeans,0.361125,0
2,Kmeans,0.342691,0
2,Kmeans,0.586687,1
2,Kmeans,0.261329,1
2,Kmeans,0.281213,0
2,Kmeans,0.347126,1
2,Kmeans,0.452414,1
2,Kmeans,0.16363,0
2,Kmeans,0.398975,1
2,Kmeans,0.366206,0
2,Kmeans,0.130681,0
2,Kmeans,0.299419,1
2,Kmeans,0.555375,1
2,Kmeans,0.486531,1
2,Kmeans,0.280978,1
2,Kmeans,0.329283,1
2,Kmeans,0.575854,1
2,Kmeans,0.404809,0
2,Kmeans,0.352921,0
2,Kmeans,0.575677,1
2,Kmeans,0.409363,0
2,Kmeans,0.128299,0
2,Kmeans,0.320525,1
2,Kmeans,0.122609,0
2,Kmeans,0.576142,1
2,Kmeans,0.594867,1
2,Kmeans,0.388211,0
2,Kmeans,0.378429,1
2,Kmeans,0.32395,1
2,Kmeans,0.135332,0
2,Kmeans,0.286961,0
2,Kmeans,0.388498,0
2,Kmeans,0.576943,1
2,Kmeans,0.5563,1
2,Kmeans,0.086808,0
2,Kmeans,0.301267,0
2,Kmeans,0.095692,0
2,Kmeans,0.516903,1
2,Kmeans,0.272297,0
2,Kmeans,0.28423,0
2,Kmeans,0.438886,0
2,Kmeans,0.41615,0
2,Kmeans,0.370596,1
2,Kmeans,0.352883,0
2,Kmeans,0.423257,0
2,Kmeans,0.478261,1
2,Kmeans,0.388155,0
2,Kmeans,0.406451,0
2,Kmeans,0.400593,1
2,Kmeans,0.316437,0
2,Kmeans,0.287376,0
2,Kmeans,0.111249,0
2,Kmeans,0.565492,1
2,Kmeans,0.556792,1
2,Kmeans,0.336313,1
2,Kmeans,0.584888,1
2,Kmeans,0.388015,1
2,Kmeans,0.443664,0
2,Kmeans,0.593828,1
2,Kmeans,0.281269,1
2,Kmeans,0.219641,0
2,Kmeans,0.337198,1
2,Kmeans,0.525402,1
2,Kmeans,0.388983,0
2,Kmeans,0.573648,1
2,Kmeans,0.383328,1
2,Kmeans,0.406633,0
2,Kmeans,0.507134,1
2,Kmeans,0.409669,0
2,Kmeans,0.417734,0
2,Kmeans,0.564822,1
2,Kmeans,0.500486,1
2,Kmeans,0.120936,0
2,Kmeans,0.408832,0
2,Kmeans,0.310962,0
2,Kmeans,0.39713,0
2,Kmeans,0.2309,0
2,Kmeans,0.605733,1
2,Kmeans,0.597564,1
2,Kmeans,0.091635,0
2,Kmeans,0.284278,0
2,Kmeans,0.46076,1
2,Kmeans,0.252639,1
2,Kmeans,0.122771,0
2,Kmeans,0.30152,1
2,Kmeans,0.398406,1
2,Kmeans,0.326454,1
2,Kmeans,0.595134,1
2,Kmeans,0.433282,0
2,Kmeans,0.448569,0
2,Kmeans,0.090945,1
2,Kmeans,0.410968,0
2,Kmeans,0.567265,1
2,Kmeans,0.401557,0
2,Kmeans,0.405509,0
2,Kmeans,0.414006,0
2,Kmeans,0.597864,1
2,Kmeans,0.430084,0
2,Kmeans,0.501413,1
2,Kmeans,0.439877,0
2,Kmeans,0.320398,1
2,Kmeans,0.569003,1
2,Kmeans,0.383351,0
2,Kmeans,0.574556,1
2,Kmeans,0.265276,0
2,Kmeans,0.186621,1
2,Kmeans,0.388211,0
2,Kmeans,0.270687,0
2,Kmeans,0.594713,1
2,Kmeans,0.101312,0
2,Kmeans,0.311663,0
2,Kmeans,0.599408,1
2,Kmeans,0.44376,1
2,Kmeans,0.416223,0
2,Kmeans,0.597072,1
2,Kmeans,0.219775,0
2,Kmeans,0.465084,1
2,Kmeans,0.111538,0
2,Kmeans,0.207661,1
2,Kmeans,0.291525,0
2,Kmeans,0.39786,0
2,Kmeans,0.391576,0
2,Kmeans,0.412472,0
2,Kmeans,0.575102,1
2,Kmeans,0.578178,1
2,Kmeans,0.493998,1
2,Kmeans,0.481676,1
2,Kmeans,0.415306,0
2,Kmeans,0.56423,1
2,Kmeans,0.577584,1
2,Kmeans,0.204204,0
2,Kmeans,0.106947,0
2,Kmeans,0.602555,1
