k,GMM,Kmeans
2,0.3843851362001843,0.3891920977773604
3,0.35653860583582825,0.3571523284423505
4,0.41511061313937825,0.41511061313937825
5,0.4095762796836595,0.43388882373290566
6,0.40389685961724325,0.4329030423195115
7,0.3394953247259371,0.4351038793812542
8,0.34373027883136775,0.3492475992381539
9,0.3730167552578464,0.37672396266952674
10,0.32669858705243443,0.375922659051182
15,0.3129008663893837,0.3455939131071679
20,0.31280205608735734,0.3879141926682579
25,0.18935869612053086,0.35637044492752146
30,0.19863201119238227,0.37353510217521635
35,0.20111228578388338,0.3658948221443115
40,0.19276027380143643,0.3483340060046926
