k,GMM,Kmeans
2,0.20320699708454812,0.1892128279883382
3,0.29650145772594755,0.2717201166180758
4,0.36355685131195337,0.3501457725947522
5,0.4402332361516035,0.41895043731778425
6,0.4204081632653061,0.4673469387755102
7,0.4268221574344023,0.4947521865889213
8,0.4915451895043732,0.5276967930029155
9,0.5443148688046647,0.5743440233236151
10,0.5723032069970846,0.6443148688046647
15,0.59533527696793,0.6632653061224489
20,0.5967930029154519,0.6708454810495627
25,0.6451895043731778,0.6731778425655977
30,0.6489795918367347,0.6819241982507288
35,0.6618075801749271,0.6868804664723032
40,0.6740524781341107,0.7084548104956269
