k,GMM,Kmeans
2,0.18944282066981355,0.148962015153975
3,0.2941653632045507,0.2523097644465172
4,0.34054360015953183,0.31235408206735965
5,0.4381570583797352,0.3711803018874097
6,0.42836945493548517,0.4018195605717193
7,0.42989814943552906,0.46154364416917604
8,0.4729958523349222,0.4857920140254012
9,0.50262468375964,0.49038056251283235
10,0.5277836935438481,0.5461174401390767
15,0.5070573076506804,0.5055791293897889
20,0.46141974403353075,0.4746623587057149
25,0.4566661752957964,0.44051802001933466
30,0.4364137361635695,0.42444390594051934
35,0.4243186992601532,0.4164191054123227
40,0.4146401854976118,0.40751004095855764
