k,type,score,label
2,Kmeans,0.020784,0
2,Kmeans,0.404723,1
2,Kmeans,0.428183,1
2,Kmeans,0.380762,1
2,Kmeans,0.246378,1
2,Kmeans,0.156387,0
2,Kmeans,0.115696,0
2,Kmeans,0.316259,0
2,Kmeans,0.288166,1
2,Kmeans,0.39098,1
2,Kmeans,0.431819,1
2,Kmeans,0.36739,1
2,Kmeans,0.323286,0
2,Kmeans,0.25922,1
2,Kmeans,0.32267,0
2,Kmeans,0.295806,1
2,Kmeans,-0.036267,0
2,Kmeans,0.297435,0
2,Kmeans,0.281915,1
2,Kmeans,0.285922,0
2,Kmeans,0.15852,1
2,Kmeans,0.263018,1
2,Kmeans,0.268985,0
2,Kmeans,0.259846,0
2,Kmeans,0.425086,1
2,Kmeans,0.291564,1
2,Kmeans,0.180562,1
2,Kmeans,0.198348,0
2,Kmeans,0.221942,0
2,Kmeans,0.394326,1
2,Kmeans,0.394051,1
2,Kmeans,0.420609,1
2,Kmeans,0.369877,1
2,Kmeans,0.319135,0
2,Kmeans,0.380416,1
2,Kmeans,0.270476,0
2,Kmeans,0.136106,1
2,Kmeans,-0.028243,0
2,Kmeans,0.399041,1
2,Kmeans,0.280398,0
2,Kmeans,0.231802,0
2,Kmeans,0.194388,1
2,Kmeans,0.395785,1
2,Kmeans,0.358091,1
2,Kmeans,0.170365,0
2,Kmeans,0.102714,0
2,Kmeans,0.241966,1
2,Kmeans,0.307808,1
2,Kmeans,0.321553,0
2,Kmeans,0.30821,0
2,Kmeans,0.3265,0
2,Kmeans,0.409968,1
2,Kmeans,0.246497,1
2,Kmeans,0.221598,0
2,Kmeans,0.287438,0
2,Kmeans,0.04391,0
2,Kmeans,0.278284,1
2,Kmeans,0.307967,0
2,Kmeans,0.294437,1
2,Kmeans,0.156884,1
2,Kmeans,0.402078,1
2,Kmeans,0.176345,1
2,Kmeans,0.435234,1
2,Kmeans,0.09937,0
2,Kmeans,0.204792,0
2,Kmeans,0.15988,1
2,Kmeans,-0.013439,0
2,Kmeans,0.296175,0
2,Kmeans,0.265959,0
2,Kmeans,0.022543,0
2,Kmeans,0.224083,1
2,Kmeans,0.299084,0
2,Kmeans,0.172902,1
2,Kmeans,0.424734,1
2,Kmeans,0.10211,0
2,Kmeans,0.302205,1
