k,GMM,Kmeans
2,0.18788431961262733,0.23759013213114655
3,0.16663455367354696,0.2223620153549616
4,0.13944059086696112,0.21294446384369675
5,0.1251945343482532,0.21572057765951508
6,0.07938745848137188,0.21670045521470518
7,0.06519219556339764,0.2125920104941114
8,0.09589089885525313,0.2128947174758474
9,0.09902952486611687,0.19664726634342633
10,0.0835878752173724,0.20249191891219367
15,0.0815243952056346,0.18912328023090288
20,0.06598405612354187,0.17619845392799102
25,0.09202305010696596,0.14978434334972357
30,0.09452595311552264,0.13081076714161496
35,0.10049256806882778,0.13180759973025433
40,0.09889731755168707,0.12334044646327957
