k,GMM,Kmeans
2,0.5921450151057401,0.552870090634441
3,0.5770392749244713,0.552870090634441
4,0.5861027190332326,0.552870090634441
5,0.5861027190332326,0.6193353474320241
6,0.5921450151057401,0.622356495468278
7,0.5891238670694864,0.5770392749244713
8,0.5800604229607251,0.6737160120845922
9,0.5921450151057401,0.6646525679758308
10,0.595166163141994,0.5861027190332326
15,0.6132930513595166,0.5921450151057401
20,0.6042296072507553,0.6404833836858006
25,0.622356495468278,0.6435045317220544
30,0.7371601208459214,0.6193353474320241
35,0.6283987915407855,0.676737160120846
40,0.7069486404833837,0.6646525679758308
