k,GMM,Kmeans
2,0.015412848621422696,0.027309203397871188
3,0.006242257041095317,0.014183232831284899
4,0.009880665478228055,0.012377644474589665
5,0.010314287618212126,0.03277851718553815
6,0.011406053148885143,0.020314419837846466
7,0.007064085351874034,1.797100659345215e-05
8,0.0017325816656021424,0.0323620491889056
9,0.008542445659696992,0.03297592903513182
10,0.009822951252774858,0.0006799440020691721
15,0.011030990109757235,-0.0007963532334400276
20,0.003027708747319268,0.018495326091942106
25,0.005576739433838653,0.009566520140488382
30,0.06776516355313082,0.0052904931560606525
35,0.002505432221551567,0.01390045351174385
40,0.01797738944165942,0.009226810473040734
