k,type,score,label
2,Kmeans,0.307657,1
2,Kmeans,0.188387,1
2,Kmeans,0.288859,1
2,Kmeans,0.267079,1
2,Kmeans,-0.205515,0
2,Kmeans,0.331342,1
2,Kmeans,0.424196,1
2,Kmeans,0.018585,0
2,Kmeans,0.10469,0
2,Kmeans,0.422332,1
2,Kmeans,0.343615,1
2,Kmeans,0.382919,1
2,Kmeans,0.37552,1
2,Kmeans,0.361781,1
2,Kmeans,0.308606,1
2,Kmeans,0.371058,1
2,Kmeans,0.456591,1
2,Kmeans,0.26881,1
2,Kmeans,0.423052,1
2,Kmeans,0.191826,1
2,Kmeans,-0.125881,0
2,Kmeans,0.376957,1
2,Kmeans,-0.178023,0
2,Kmeans,0.356417,1
2,Kmeans,0.068311,0
2,Kmeans,0.161611,1
2,Kmeans,0.37069,1
2,Kmeans,0.305298,1
2,Kmeans,0.306354,1
2,Kmeans,0.457202,1
2,Kmeans,0.323181,1
2,Kmeans,0.318389,1
2,Kmeans,0.307392,1
2,Kmeans,0.401702,1
2,Kmeans,0.37069,1
2,Kmeans,0.347512,1
2,Kmeans,0.243258,1
2,Kmeans,0.421808,1
2,Kmeans,0.262735,1
2,Kmeans,0.328572,1
2,Kmeans,0.413668,1
2,Kmeans,0.225829,1
2,Kmeans,0.407904,1
2,Kmeans,0.198004,1
2,Kmeans,0.02534,0
2,Kmeans,0.038006,0
2,Kmeans,0.026615,0
2,Kmeans,0.327902,1
2,Kmeans,0.099652,1
2,Kmeans,0.374127,1
2,Kmeans,0.431169,1
2,Kmeans,0.419191,1
2,Kmeans,0.29106,1
2,Kmeans,-0.234444,0
2,Kmeans,0.025903,0
2,Kmeans,0.409759,1
2,Kmeans,0.367395,1
2,Kmeans,0.130694,1
2,Kmeans,0.220359,1
2,Kmeans,0.093821,0
2,Kmeans,-0.189715,0
2,Kmeans,0.286235,1
2,Kmeans,-0.028056,0
2,Kmeans,0.183359,1
2,Kmeans,0.380236,1
2,Kmeans,0.414384,1
2,Kmeans,-0.190528,0
2,Kmeans,0.372651,1
2,Kmeans,0.341432,1
2,Kmeans,0.459469,1
2,Kmeans,0.422376,1
2,Kmeans,0.210976,1
2,Kmeans,-0.118079,0
2,Kmeans,0.35731,1
2,Kmeans,0.374065,1
2,Kmeans,0.039445,0
2,Kmeans,0.045897,0
2,Kmeans,0.433817,1
2,Kmeans,0.391149,1
2,Kmeans,0.425434,1
2,Kmeans,0.403669,1
2,Kmeans,0.349864,1
2,Kmeans,0.332121,1
2,Kmeans,0.409524,1
2,Kmeans,0.396323,1
2,Kmeans,0.328947,1
2,Kmeans,0.339259,1
2,Kmeans,0.23368,1
2,Kmeans,0.195832,1
2,Kmeans,-0.049277,0
2,Kmeans,0.459416,1
2,Kmeans,0.401029,1
2,Kmeans,0.239943,1
2,Kmeans,0.373333,1
2,Kmeans,0.418819,1
2,Kmeans,0.361781,1
2,Kmeans,0.200044,1
2,Kmeans,0.434182,1
2,Kmeans,0.361557,1
2,Kmeans,0.341208,1
2,Kmeans,0.375904,1
2,Kmeans,0.020792,0
2,Kmeans,0.29357,1
2,Kmeans,0.024936,0
2,Kmeans,0.291954,1
2,Kmeans,0.453477,1
2,Kmeans,0.341325,1
2,Kmeans,-0.065124,0
2,Kmeans,0.391193,1
2,Kmeans,0.160077,1
2,Kmeans,-0.113438,0
2,Kmeans,0.363152,1
2,Kmeans,0.416243,1
2,Kmeans,0.228407,1
2,Kmeans,0.422393,1
2,Kmeans,0.380641,1
2,Kmeans,0.434472,1
2,Kmeans,0.360345,1
2,Kmeans,0.180075,1
2,Kmeans,-0.094638,0
2,Kmeans,0.431154,1
2,Kmeans,-0.021296,0
2,Kmeans,0.380693,1
2,Kmeans,0.354248,1
2,Kmeans,0.142575,0
2,Kmeans,0.370943,1
2,Kmeans,-0.106478,0
2,Kmeans,0.376923,1
2,Kmeans,0.37906,1
2,Kmeans,-0.057437,0
2,Kmeans,0.407039,1
2,Kmeans,0.382919,1
2,Kmeans,0.347981,1
2,Kmeans,0.032591,0
2,Kmeans,0.13563,1
2,Kmeans,0.324027,1
2,Kmeans,0.418017,1
2,Kmeans,0.089006,0
2,Kmeans,0.413076,1
2,Kmeans,0.374217,1
2,Kmeans,0.361814,1
2,Kmeans,0.414449,1
2,Kmeans,0.413675,1
2,Kmeans,-0.08184,0
2,Kmeans,0.090407,0
2,Kmeans,0.304385,1
2,Kmeans,0.433316,1
2,Kmeans,0.382919,1
2,Kmeans,0.240749,1
2,Kmeans,0.34799,1
2,Kmeans,0.399207,1
2,Kmeans,0.292203,1
2,Kmeans,-0.019942,0
2,Kmeans,0.422324,1
2,Kmeans,0.410098,1
2,Kmeans,0.216748,1
2,Kmeans,-0.127937,0
2,Kmeans,0.399091,1
2,Kmeans,0.241214,1
2,Kmeans,0.425436,1
2,Kmeans,0.241864,1
2,Kmeans,0.416917,1
2,Kmeans,0.319148,1
2,Kmeans,0.03444,0
2,Kmeans,0.341405,1
2,Kmeans,0.270762,1
2,Kmeans,-0.082094,0
2,Kmeans,-0.197491,0
2,Kmeans,0.307823,1
2,Kmeans,-0.113056,0
2,Kmeans,0.104578,0
2,Kmeans,0.331076,1
2,Kmeans,0.380217,1
2,Kmeans,0.374936,1
2,Kmeans,0.431172,1
2,Kmeans,0.374063,1
2,Kmeans,0.024936,0
2,Kmeans,-0.177149,0
2,Kmeans,0.39683,1
2,Kmeans,0.458094,1
2,Kmeans,0.380365,1
2,Kmeans,0.26377,1
2,Kmeans,0.460783,1
2,Kmeans,0.382919,1
2,Kmeans,0.395283,1
2,Kmeans,0.411772,1
2,Kmeans,-0.019523,0
2,Kmeans,0.329119,1
2,Kmeans,0.315297,1
2,Kmeans,0.252717,1
2,Kmeans,0.433595,1
2,Kmeans,0.387234,1
2,Kmeans,0.353132,1
2,Kmeans,0.132571,1
2,Kmeans,0.276991,1
2,Kmeans,0.388612,1
2,Kmeans,0.225907,1
2,Kmeans,0.024936,0
2,Kmeans,0.407428,1
2,Kmeans,0.184254,1
2,Kmeans,0.04976,0
2,Kmeans,0.090091,0
2,Kmeans,0.413412,1
2,Kmeans,0.319525,1
2,Kmeans,0.209062,1
2,Kmeans,0.200785,1
2,Kmeans,0.265526,1
2,Kmeans,0.459493,1
2,Kmeans,0.359954,1
2,Kmeans,0.302115,1
2,Kmeans,0.395341,1
2,Kmeans,0.304228,1
2,Kmeans,0.328225,1
2,Kmeans,0.468283,1
2,Kmeans,0.382919,1
2,Kmeans,0.405931,1
2,Kmeans,0.382175,1
2,Kmeans,0.311813,1
2,Kmeans,0.107426,1
2,Kmeans,0.459964,1
2,Kmeans,0.374064,1
2,Kmeans,0.338177,1
2,Kmeans,0.19974,1
2,Kmeans,0.356114,1
2,Kmeans,0.317174,1
2,Kmeans,0.274722,1
2,Kmeans,0.130162,1
2,Kmeans,0.384804,1
2,Kmeans,-0.250504,0
2,Kmeans,0.350427,1
2,Kmeans,0.428612,1
2,Kmeans,0.211255,1
2,Kmeans,0.353132,1
2,Kmeans,0.050874,0
2,Kmeans,0.134795,0
2,Kmeans,-0.226427,0
2,Kmeans,0.309378,1
2,Kmeans,0.129907,1
2,Kmeans,0.264961,1
2,Kmeans,0.309639,1
2,Kmeans,0.459233,1
2,Kmeans,0.078912,0
2,Kmeans,0.380771,1
2,Kmeans,0.156041,0
2,Kmeans,-0.202307,0
2,Kmeans,0.333359,1
2,Kmeans,0.043929,0
2,Kmeans,0.128967,0
2,Kmeans,-0.158289,0
2,Kmeans,0.22994,1
2,Kmeans,0.415936,1
2,Kmeans,0.374879,1
2,Kmeans,0.141208,1
2,Kmeans,0.464688,1
2,Kmeans,0.368061,1
2,Kmeans,-0.02291,0
2,Kmeans,0.232707,1
2,Kmeans,0.426043,1
2,Kmeans,0.367817,1
2,Kmeans,0.28905,1
2,Kmeans,0.364647,1
2,Kmeans,-0.019523,0
