k,GMM,Kmeans
2,0.3266495082596598,0.25722701277611126
3,0.3113765772288717,0.19002809960184475
4,0.2868746174032293,0.18778770231283956
5,0.29819156385696544,0.12915111749057057
6,0.2944093802235175,0.13786788736329134
7,0.24574412886941469,0.1999972514726013
8,0.11972987619750051,0.1342510786414804
9,0.04490574509905241,0.1567546190033971
10,0.047165689188379045,0.24258789056941202
15,0.1654367160310302,0.20996923109037519
20,0.217939469452121,0.17019988778593936
25,0.1851399011895531,0.2084664901355905
30,0.17696489444877284,0.22751185824479708
35,0.12814660895577984,0.2415424936785747
40,0.16778503390277255,0.24131538255497945
