k,GMM,Kmeans
2,0.2,0.1903790087463557
3,0.26822157434402333,0.2693877551020408
4,0.3282798833819242,0.30612244897959184
5,0.3568513119533528,0.33935860058309036
6,0.3682215743440233,0.3545189504373178
7,0.4163265306122449,0.3848396501457726
8,0.40349854227405246,0.3836734693877551
9,0.4209912536443149,0.39271137026239067
10,0.43673469387755104,0.4043731778425656
15,0.48600583090379007,0.4521865889212828
20,0.5198250728862974,0.4784256559766764
25,0.5081632653061224,0.5084548104956268
30,0.5335276967930029,0.5198250728862974
35,0.5285714285714286,0.5314868804664723
40,0.5314868804664723,0.5370262390670554
