k,GMM,Kmeans
2,0.20027109822063138,0.12575751997476853
3,0.2341820809465266,0.21086950157455994
4,0.2983369587776279,0.23483122049863372
5,0.330784534797018,0.2574526609367982
6,0.3444992588310802,0.27148709633278134
7,0.3662500103814106,0.32091242680745563
8,0.35892878054263044,0.329309122220478
9,0.37383636858802155,0.33531279010931564
10,0.3921330718927109,0.34407925966101777
15,0.3909867243048755,0.3528161715823138
20,0.3610341979938248,0.3222029474109068
25,0.3396412027477004,0.3129525583026871
30,0.32743609763493686,0.31448739044155183
35,0.31773953304664576,0.30652495185941353
40,0.3073414079289346,0.30368028779074707
