k,type,score,label
2,Kmeans,0.032146,1
2,Kmeans,0.391848,0
2,Kmeans,0.073967,0
2,Kmeans,0.341415,1
2,Kmeans,0.208738,1
2,Kmeans,0.079119,0
2,Kmeans,0.133162,0
2,Kmeans,0.342106,0
2,Kmeans,0.419032,0
2,Kmeans,0.081351,1
2,Kmeans,0.36677,0
2,Kmeans,0.231392,1
2,Kmeans,0.392801,0
2,Kmeans,0.430553,0
2,Kmeans,0.216365,0
2,Kmeans,0.375953,0
2,Kmeans,0.233985,0
2,Kmeans,0.403339,0
2,Kmeans,0.455134,1
2,Kmeans,0.067862,0
2,Kmeans,0.184227,0
2,Kmeans,0.06255,1
2,Kmeans,0.12121,1
2,Kmeans,0.379233,0
2,Kmeans,0.191134,0
2,Kmeans,0.130579,0
2,Kmeans,0.438449,0
2,Kmeans,0.349266,0
2,Kmeans,0.407357,1
2,Kmeans,0.27179,1
2,Kmeans,0.324369,1
2,Kmeans,0.313659,0
2,Kmeans,0.201007,0
2,Kmeans,0.06886,0
2,Kmeans,0.405932,0
2,Kmeans,0.404042,0
2,Kmeans,0.443419,1
2,Kmeans,0.072828,0
2,Kmeans,0.375047,1
2,Kmeans,0.296156,0
2,Kmeans,0.400946,0
2,Kmeans,0.442411,1
2,Kmeans,0.069206,0
2,Kmeans,0.257416,0
2,Kmeans,0.431923,1
2,Kmeans,0.479038,1
2,Kmeans,0.241302,0
2,Kmeans,0.314238,1
2,Kmeans,0.445768,1
2,Kmeans,0.185236,1
2,Kmeans,0.07946,0
2,Kmeans,0.328369,0
2,Kmeans,0.196136,0
2,Kmeans,0.381521,0
2,Kmeans,0.45924,1
2,Kmeans,0.298724,0
2,Kmeans,0.39779,0
2,Kmeans,0.244894,0
2,Kmeans,0.391739,0
2,Kmeans,0.178838,0
2,Kmeans,0.266388,1
2,Kmeans,0.28702,0
2,Kmeans,0.156258,1
2,Kmeans,0.319328,0
2,Kmeans,0.17132,0
2,Kmeans,0.109804,0
2,Kmeans,0.35419,0
2,Kmeans,0.470566,1
2,Kmeans,0.450644,0
