k,GMM,Kmeans
2,0.24668113290767713,0.28181780780977805
3,0.20337866003816182,0.2169497198152952
4,0.1701523149253518,0.22028013965150492
5,0.12197134401391976,0.226813389639319
6,0.13430645894447424,0.21382822636771834
7,0.12901454307176036,0.17794684024807958
8,0.08316012474039013,0.1724749177759267
9,0.09386029742857549,0.13754556004403748
10,0.05340092697049222,0.13524569812216994
15,0.03320168172276244,0.13402820273271437
20,0.035550953176564364,0.125827538120137
25,0.03647573972403253,0.11802279310948009
30,0.035955909563820665,0.11999259753223475
35,0.04210012795601545,0.11907767102700301
40,0.03972532076173097,0.11584318893884574
